Date,Returns,Social_Scores,Environment_Scores,Sentiment_Scores
3/11/2021,0.026164625,6.34,7.28,0
3/12/2021,-0.005241138,6.34,7.28,0
3/15/2021,0.031968642,6.34,7.28,0
3/16/2021,-0.002000836,6.34,7.28,0
3/17/2021,0.001175318,6.34,7.28,0
3/18/2021,-0.011393469,6.34,7.28,0
3/19/2021,-0.039673131,6.34,7.28,0
3/22/2021,0.005673129,6.34,7.28,0
3/23/2021,-0.008317092,6.34,7.28,0
3/24/2021,-0.028879786,6.34,7.28,0
3/25/2021,-0.033944109,6.34,7.28,0
3/26/2021,0.033815322,6.34,7.28,0
3/29/2021,0.003759665,6.34,7.28,0
3/30/2021,-0.004045248,6.34,7.28,0
3/31/2021,-0.000451323,6.34,7.28,0
4/1/2021,-0.002709047,6.34,7.28,0
4/5/2021,0.019542705,6.34,7.28,0
4/6/2021,0.01509776,6.34,7.28,0
4/7/2021,-0.004520303,6.34,7.28,0
4/8/2021,-0.020946205,6.34,7.28,0
4/9/2021,0.013240643,6.34,7.28,0
4/12/2021,0.008785465,6.34,7.28,0
4/13/2021,-0.022687415,6.34,7.28,0
4/14/2021,-0.009585117,6.34,7.28,0
4/15/2021,0.010660849,6.34,7.28,0
4/16/2021,0.004787955,6.34,7.28,0
4/19/2021,-0.012955044,6.34,7.28,0
4/20/2021,-0.041185882,6.34,7.28,0
4/21/2021,0.02194948,6.34,7.28,0
4/22/2021,-0.005542688,6.34,7.28,0
4/23/2021,0.007818638,6.34,7.28,0
4/26/2021,0.010830236,6.34,7.28,0
4/27/2021,0.003875368,6.34,7.28,-0.159989362
4/28/2021,-0.010597254,6.34,7.28,0
4/29/2021,0.019508778,6.34,7.28,-0.0772
4/30/2021,-0.004802571,6.34,7.28,0.083966667
5/3/2021,0.003091601,6.34,7.28,0.157016667
5/4/2021,-0.011125253,6.34,7.28,0.134775
5/5/2021,0.00501704,6.34,7.28,0.01238
5/6/2021,0.00968154,6.34,7.28,0.204133333
5/7/2021,0.032361984,6.34,7.28,0
5/10/2021,-0.010231506,6.34,7.28,-0.1591
5/11/2021,0.005278557,6.34,7.28,0.25718
5/12/2021,-0.027202439,6.34,7.28,0.04496
5/13/2021,0.001649278,6.34,7.28,-0.091375
5/14/2021,0.017364044,6.34,7.28,-0.3182
5/17/2021,0.003531205,6.34,7.28,0
5/18/2021,-0.006231233,6.34,7.28,0
5/19/2021,-0.019179664,6.34,7.28,0.136866667
5/20/2021,0.002331546,6.34,7.28,0
