Date,Returns,Social_Scores,Environment_Scores,Sentiment_Scores
3/11/2021,0.036706681,7.83,9.92,0
3/12/2021,-0.009635564,7.83,9.92,0
3/15/2021,0.004304815,7.83,9.92,0
3/16/2021,0.007265794,7.83,9.92,0
3/17/2021,0.000782347,7.83,9.92,0
3/18/2021,-0.037468526,7.83,9.92,0
3/19/2021,0.014639719,7.83,9.92,0
3/22/2021,0.02134014,7.83,9.92,0
3/23/2021,0.022901573,7.83,9.92,0
3/24/2021,-0.026687153,7.83,9.92,0
3/25/2021,-0.034465568,7.83,9.92,0
3/26/2021,0.010320969,7.83,9.92,0
3/29/2021,0.011613079,7.83,9.92,0
3/30/2021,-0.001089595,7.83,9.92,0
3/31/2021,0.01610853,7.83,9.92,0
4/1/2021,0.034045184,7.83,9.92,0
4/5/2021,0.002317304,7.83,9.92,0
4/6/2021,0.007139376,7.83,9.92,0
4/7/2021,0.004517585,7.83,9.92,0
4/8/2021,0.013875989,7.83,9.92,0
4/9/2021,0.001316276,7.83,9.92,0
4/12/2021,-0.004555957,7.83,9.92,0
4/13/2021,0.001718498,7.83,9.92,0
4/14/2021,-0.02475929,7.83,9.92,0
4/15/2021,0.017036315,7.83,9.92,0
4/16/2021,-0.004879634,7.83,9.92,0
4/19/2021,0.014454614,7.83,9.92,0
4/20/2021,-0.008783629,7.83,9.92,0
4/21/2021,-0.074003335,7.83,9.92,0
4/22/2021,-0.000235793,7.83,9.92,0
4/23/2021,-0.006348542,7.83,9.92,0.151915385
4/26/2021,0.009395708,7.83,9.92,0.05798
4/27/2021,-0.00930825,7.83,9.92,0.20086
4/28/2021,0.001918705,7.83,9.92,0.303978571
4/29/2021,0.004896176,7.83,9.92,0.040728
4/30/2021,0.008781868,7.83,9.92,0.181881818
5/3/2021,-0.008491218,7.83,9.92,0.06966
5/4/2021,-0.011647763,7.83,9.92,-0.086275
5/5/2021,-0.014110271,7.83,9.92,-0.148
5/6/2021,0.006994842,7.83,9.92,0.133966667
5/7/2021,0.008587746,6.75,9.92,0.094961538
5/10/2021,-0.034038572,6.75,9.92,0
5/11/2021,0.017238867,6.75,9.92,0
5/12/2021,-0.020400695,6.75,9.92,0
5/13/2021,0.003464045,6.75,9.92,0
5/14/2021,0.013787842,6.75,9.92,0
5/17/2021,-0.008979048,6.75,9.92,0
5/18/2021,-0.005440348,6.75,9.92,0
5/19/2021,0.002920156,6.75,9.92,0
5/20/2021,0.02864466,6.75,9.92,0
5/21/2021,-0.007534831,6.75,9.92,0
5/24/2021,0.010062422,6.75,9.92,0
5/25/2021,-0.003102004,6.75,9.92,0
5/26/2021,0.002034526,6.75,9.92,0
5/27/2021,0.002985907,6.75,9.92,0
5/28/2021,-0.002083888,6.75,9.92,0
6/1/2021,-0.007418331,6.75,9.92,0
6/2/2021,0.000320597,6.75,9.92,0
6/3/2021,-0.019649863,6.75,9.92,0
6/4/2021,0.010849351,6.75,9.92,0
6/7/2021,-0.000161674,6.75,0.12,0
6/8/2021,-0.004588988,6.75,0.12,0
6/9/2021,-0.013363425,6.75,0.12,0
6/10/2021,0.003005273,7.83,0.12,0
6/11/2021,0.003078376,7.83,0.12,0
6/14/2021,0.02275104,7.83,0.12,0
6/15/2021,-0.015983557,7.83,0.12,0
6/16/2021,0.001036816,7.83,0.12,0
6/17/2021,0.012042795,7.83,0.12,0
6/18/2021,0.004876174,7.83,0.12,0
6/21/2021,-0.007528384,7.83,0.12,0
6/22/2021,0.023782711,7.83,0.12,0
6/23/2021,0.007704066,7.83,0.12,0
6/24/2021,0.010375643,7.83,0.12,0.151915385
6/25/2021,0.017391827,7.83,0.12,0.05798
6/28/2021,0.011307837,7.83,0.12,0.20086
6/29/2021,0.000881696,7.83,0.12,0.303978571
6/30/2021,-0.00991561,7.83,0.12,0.040728
7/1/2021,0.0100906,7.83,0.12,0.181881818
7/2/2021,0.000824685,7.83,0.12,0.06966
7/6/2021,0.014345171,7.83,0.12,-0.086275
7/7/2021,-0.010486656,7.83,0.12,-0.148
7/8/2021,-0.009702239,7.83,0.12,0.133966667
7/9/2021,0.009834898,7.83,0.12,0.094961538
7/12/2021,0.002481468,7.83,0.12,0
7/13/2021,0.006271975,7.83,0.12,0
7/14/2021,0.013446067,7.83,0.12,0
7/15/2021,-0.00912492,7.83,0.12,0
7/16/2021,-0.023280255,7.83,0.12,0
7/19/2021,0.003714868,7.83,0.12,0
7/20/2021,-0.002310892,6.75,0.12,0
7/21/2021,-0.032802906,6.75,0.12,0
7/22/2021,-0.003621315,6.75,0.12,0
7/23/2021,0.007112539,6.75,0.12,0
7/26/2021,0.002095452,6.75,0.12,0
7/27/2021,0.00468544,6.75,0.12,0
7/28/2021,0.000751604,6.75,0.12,0
7/29/2021,-0.009724606,6.75,0.12,0
7/30/2021,0.006456018,6.75,0.12,0
8/2/2021,-0.004675663,6.75,0.12,0
8/3/2021,-0.008405352,6.75,0.12,0
8/4/2021,0.012783306,6.75,0.12,0
8/5/2021,0.014574349,6.75,0.12,0
8/6/2021,-0.00826845,6.75,0.12,0
8/9/2021,-0.001114239,6.75,0.12,0
8/10/2021,-0.007942658,6.75,0.12,0
8/11/2021,-0.006668739,6.75,0.12,0
8/12/2021,-0.003278734,6.75,0.12,0
8/13/2021,0.010181668,6.75,0.12,0
8/16/2021,0.00387657,6.75,0.12,0
8/17/2021,0.001911473,6.75,0.12,0
8/18/2021,0.005704307,6.75,0.12,0
8/19/2021,0.041849555,6.75,0.12,0
8/20/2021,0.005830282,6.75,0.12,0
8/23/2021,0.0117942,6.75,0.12,0
8/24/2021,0.0001445,7.83,0.12,0
8/25/2021,-0.010534606,7.83,0.12,0
8/26/2021,0.004638551,7.83,0.12,0
8/27/2021,0.015996488,7.83,0.12,0
8/30/2021,0.012989354,7.83,0.12,0.151915385
8/31/2021,0.005316348,7.83,0.12,0.05798
9/1/2021,0.022628656,7.83,0.12,0.20086
9/2/2021,0.011132648,7.83,0.12,0.303978571
9/3/2021,0.003364271,7.83,0.12,0.040728
9/7/2021,0.027399102,7.83,0.12,0.181881818
9/8/2021,-0.001087891,7.83,0.12,0.06966
9/9/2021,-0.014041762,7.83,0.12,-0.086275
9/10/2021,0.001974751,7.83,0.12,-0.148
9/13/2021,-0.015750256,7.83,0.12,0.133966667
9/14/2021,-0.019565865,7.83,0.12,0.094961538
9/15/2021,0.008844477,7.83,0.12,0
9/16/2021,0.006227812,7.83,0.12,0
9/17/2021,0.004859293,7.83,0.12,0
9/20/2021,-0.023619214,7.83,0.12,0
9/21/2021,-0.003979594,7.83,0.12,0
9/22/2021,0.030551016,7.83,0.12,0
9/23/2021,0.004418836,7.83,0.12,0
9/24/2021,-0.001466465,7.83,0.12,0
9/27/2021,0.000422019,6.75,0.12,0
9/28/2021,-0.014832004,6.75,0.12,0
9/29/2021,0.026051251,6.75,0.12,0
9/30/2021,0.018829549,6.75,0.12,0
10/1/2021,0.004603987,6.75,0.12,0
10/4/2021,-0.015983117,6.75,0.12,0
10/5/2021,0.052142245,6.75,0.12,0
10/6/2021,0.006757893,6.75,0.12,0
10/7/2021,-0.011344078,6.75,0.12,0
10/8/2021,0.001281946,6.75,9.92,0
10/11/2021,-0.00289248,6.75,9.92,0
