Date,Returns,Social_Scores,Environment_Scores,Sentiment_Scores
3/11/2021,-0.004267954,14.8,4.32,0
3/12/2021,0.004565826,14.8,4.32,0
3/15/2021,0.010110372,14.8,4.32,0
3/16/2021,0.022405831,14.8,4.32,0
3/17/2021,-0.007903645,14.8,4.32,0
3/18/2021,-0.02571068,14.8,4.32,0
3/19/2021,-0.011893686,14.8,4.32,0
3/22/2021,0.011566615,14.8,4.32,0
3/23/2021,-0.012271072,14.8,4.32,0
3/24/2021,-0.012047045,14.8,4.32,0
3/25/2021,0.022673161,14.8,4.32,0
3/26/2021,0.023754082,14.8,4.32,0
3/29/2021,-0.007006383,14.8,4.32,0
3/30/2021,0.010446222,14.8,4.32,0
3/31/2021,-0.009068594,14.8,4.32,0
4/1/2021,0.001006662,14.8,4.32,0
4/5/2021,0.014993572,14.8,4.32,0
4/6/2021,0.019185745,14.8,4.32,0
4/7/2021,0.000353519,14.8,4.32,0
4/8/2021,-0.001325194,14.8,4.32,0
4/9/2021,0.001238453,14.8,4.32,0
4/12/2021,0.005566347,14.8,4.32,0
4/13/2021,0.013619251,14.8,4.32,0
4/14/2021,-0.001733666,14.8,4.32,0
4/15/2021,0.013025375,14.8,4.32,0
4/16/2021,0.014400669,14.8,4.32,0
4/19/2021,-0.006253145,14.8,4.32,0
4/20/2021,-0.011309486,14.8,4.32,0
4/21/2021,0.004042284,14.8,4.32,0
4/22/2021,-0.007024078,14.8,4.32,0
4/23/2021,0.014147661,14.8,4.32,0
4/26/2021,-0.013950297,14.8,4.32,0
4/27/2021,0.001984127,14.8,4.32,0
4/28/2021,-0.032285819,14.8,4.32,0
4/29/2021,0.019839747,14.8,4.32,0
4/30/2021,-0.001221274,14.8,4.32,0
5/3/2021,0.01074331,14.8,4.32,0
5/4/2021,-0.013912895,14.8,4.32,0
5/5/2021,-0.005520981,14.8,4.32,0
5/6/2021,0.011103262,14.8,4.32,0
5/7/2021,-0.003486201,14.8,4.32,0
5/10/2021,-0.000349705,14.8,4.32,0
5/11/2021,-0.006561689,14.8,4.32,-0.4019
5/12/2021,-0.029266207,14.8,4.32,0.2023
5/13/2021,0.006375762,14.8,4.32,0.444466667
5/14/2021,0.006425969,14.8,4.32,0.26495
5/17/2021,-0.001978393,14.8,4.32,0
5/18/2021,0.000810966,14.8,4.32,0.247566667
5/19/2021,-0.01260471,14.8,4.32,0.3818
5/20/2021,0.015865814,14.8,4.32,-0.0242
5/21/2021,-0.004398171,14.8,4.32,0.034425
5/24/2021,0.014424785,14.8,4.32,0.2249
5/25/2021,0.000977592,14.8,4.32,0
5/26/2021,0.001953275,14.8,4.32,0
5/27/2021,0.005848536,14.8,4.32,0.149625
5/28/2021,0.003259615,14.8,4.32,0.1953
6/1/2021,-0.004741885,14.8,4.32,0
6/2/2021,-0.002999812,14.8,4.32,0
6/3/2021,-0.016637125,14.8,4.32,0
6/4/2021,0.007829322,14.8,4.32,0
6/7/2021,-0.005893311,14.8,4.87,0
6/8/2021,0.001706542,14.8,4.87,0
6/9/2021,-0.001165677,14.8,4.87,0
6/10/2021,0.007361558,14.8,4.87,0
6/11/2021,0.003119095,14.8,4.87,0
6/14/2021,-0.000977245,14.8,4.87,0
6/15/2021,-0.004979955,14.8,4.87,0
6/16/2021,-0.004736756,14.8,4.87,0
6/17/2021,0.000269331,14.8,4.87,0
6/18/2021,-0.015171902,14.8,4.87,0
6/21/2021,0.011577039,14.8,4.87,0
6/22/2021,0.007930043,14.8,4.87,0
6/23/2021,-0.002592764,14.8,4.87,0
6/24/2021,0.003854425,14.8,4.87,0
6/25/2021,0.009375872,14.8,4.87,0
6/28/2021,-0.007077128,14.8,4.87,0
6/29/2021,0.000267219,14.8,4.87,0
6/30/2021,-0.004097197,14.8,4.87,0
7/1/2021,0.014310033,14.8,4.87,0
7/2/2021,0.013755348,14.8,4.87,0
7/6/2021,0.006610448,14.8,4.87,0
7/7/2021,0.012183465,14.8,4.87,0
7/8/2021,-0.009817312,14.8,4.87,0
7/9/2021,0.012759751,14.8,4.87,0
7/12/2021,0.008427711,14.8,4.87,0
7/13/2021,0.009201411,14.8,4.87,0
7/14/2021,0.002091155,14.8,4.87,0
7/15/2021,-0.006928204,14.8,4.87,0
7/16/2021,-0.002017273,14.8,4.87,0
7/19/2021,-0.028720661,14.8,4.87,0
7/20/2021,0.018210198,14.8,4.87,0
7/21/2021,0.015755363,14.8,4.87,0
7/22/2021,0.028171365,14.8,4.87,0
7/23/2021,0.027236473,14.8,4.87,0
7/26/2021,0.000714403,14.8,4.87,0
7/27/2021,-0.000237985,14.8,4.87,0
7/28/2021,-0.028723251,14.8,4.87,0
7/29/2021,-0.000245143,14.8,4.87,0
7/30/2021,-0.007762708,14.8,4.87,0
8/2/2021,-0.008729237,14.8,4.87,0
8/3/2021,-0.01030164,14.8,4.87,0
8/4/2021,-0.007386862,14.8,4.87,0
8/5/2021,0.006596202,14.8,4.87,0.3107
8/6/2021,0.00016807,14.8,4.87,0
8/9/2021,-0.009323851,14.8,4.87,0
8/10/2021,-0.013142268,14.8,4.87,0.366733333
8/11/2021,0.004830063,14.8,4.87,0
8/12/2021,-0.006437768,14.8,4.87,0.1702
8/13/2021,0.00872572,14.8,4.87,0
8/16/2021,0.006680359,14.8,4.87,0.1027
8/17/2021,-0.00825252,14.8,4.87,0
8/18/2021,-0.007634892,14.8,4.87,0
8/19/2021,-0.011756575,14.8,4.87,0.34
8/20/2021,0.002711665,14.8,4.87,0
8/23/2021,0.004536372,14.8,4.87,0
8/24/2021,-0.0006079,14.8,4.87,-0.4019
8/25/2021,0.004257889,14.8,4.87,0.2023
8/26/2021,-0.010815956,14.8,4.87,0.444466667
8/27/2021,0.006997927,14.8,4.87,0.26495
8/30/2021,0.004256409,14.8,4.87,0
8/31/2021,0.016261545,14.8,4.87,0.247566667
9/1/2021,-0.000340462,14.8,4.87,0.3818
9/2/2021,-0.000681092,14.8,4.87,-0.0242
9/3/2021,-0.001533614,14.8,4.87,0.034425
9/7/2021,-0.011946425,14.8,4.87,0.2249
9/8/2021,0.01943173,14.8,4.87,0
9/9/2021,0.006353778,14.8,4.87,0
9/10/2021,0.004629981,14.8,4.87,0.149625
9/13/2021,-0.001340674,14.8,4.87,0.1953
9/14/2021,-0.002685012,14.8,4.87,0.2037
9/15/2021,-0.035503964,14.8,4.87,-0.3182
9/16/2021,0.000261678,14.8,4.87,0.05346
9/17/2021,-0.010988005,14.8,4.87,0.127266667
9/20/2021,-0.014019962,14.8,4.87,0.2023
9/21/2021,0.003577191,15.2,4.87,0
9/22/2021,0.007574394,15.2,4.87,0.2178
9/23/2021,0.009463162,15.2,4.87,0.277428571
9/24/2021,-0.000262824,15.2,4.87,0.1005
9/27/2021,-0.003768296,15.2,4.87,0.0129
9/28/2021,-0.017329356,15.2,4.87,0.4019
9/29/2021,0.004117797,15.2,4.87,0
9/30/2021,-0.01658198,15.2,4.87,0
10/1/2021,0.023660599,15.2,4.87,0.260133333
10/4/2021,-0.0129295,15.2,4.87,0.3549
10/5/2021,-0.005472821,15.2,4.87,-0.0086
10/6/2021,0.007126756,15.2,4.87,0.4019
10/7/2021,0.005105694,15.2,4.87,0.10115
10/8/2021,-0.008822724,15.2,4.87,0.2023
10/11/2021,-0.001618417,15.2,4.87,0.268114286
